year,month,city,plane,country
1970,10,0,0,2
1972,9,0,0,2
1959,3,2,0,1
1971,6,17,0,2
1968,11,0,1,2
1968,10,0,1,2
1969,0,2,1,2
1969,1,5,1,13
1970,1,5,1,13
1969,5,12,1,4
1969,0,23,1,3
1969,1,0,2,2
1969,5,0,2,2
1970,6,0,2,2
1971,6,0,2,2
1968,11,0,2,2
1971,10,1,3,2
1968,5,0,4,2
1972,10,13,5,21
1939,9,15,7,12
2012,5,21,8,26
1960,6,18,10,5
2001,8,4,12,15
1978,2,0,13,2
1958,10,33,15,2
1971,1,0,16,2
1970,10,0,16,2
1968,10,0,18,2
1958,3,1,20,2
1958,3,3,20,11
1958,3,3,20,11
1968,1,7,23,3
1956,8,31,24,8
1968,8,0,25,2
1971,9,1,26,2
1968,6,0,27,18
1931,1,11,29,19
1972,2,0,30,2
1968,9,0,31,2
1961,6,0,32,2
1968,10,0,33,2
1948,6,22,34,24
1968,6,0,37,2
1968,10,0,38,2
1968,2,7,39,2
1969,2,0,40,2
1968,6,0,41,2
1932,8,32,42,0
1961,6,0,43,2
1970,7,0,45,2
1984,2,0,47,3
1967,10,20,48,3
1974,11,0,49,2
1994,11,10,52,6
1995,5,0,53,27
1984,11,0,56,25
1987,2,0,57,2
1960,6,3,62,11
1968,9,2,63,2
1968,7,27,64,3
1968,7,28,67,7
1961,4,26,71,2
1960,11,17,73,1
1961,6,3,75,2
1960,9,2,77,1
1966,2,6,78,2
1959,3,0,79,1
1969,2,29,80,9
1970,7,0,81,2
